# career-relation 12-qi verdicts (source: คู่สมพงษ์การงาน)
# format: [relation] qi | verdict
[boss] หมกยก | ตัวเรามักมีงานที่ต้องสะสางปัญหา เคลียร์ปัญหา ให้กับหัวหน้า/เจ้าของ/จัดสรรทรัพยากรให้เกิดความสวยงาม ดูดี สร้างเสน่ห์ให้องค์กร/บริษัท
[boss] กวงตั่ว | ตัวเราได้ใช้ความสามารถด้านวิชาการ องค์ความรู้ที่มี ความเชี่ยวชาญเฉพาะด้าน ให้กับหัวหน้า/เจ้านาย/ได้อย่างมีประสิทธิภาพ บรรลุผลตามเป้าหมาย
[boss] ลิ่มกัว | ตัวเรามีส่วนผลักดันให้หัวหน้า/เจ้าของ/มีชื่อเสียง มีความน่าเชื่อถือ มีความสำเร็จในทุกด้าน
[boss] ตี้อ๋วง | ตัวเรามีส่วนผลักดันให้/หัวหน้า/เจ้าของ/เป็นอันดับหนึ่งในวงการ มีอำนาจเหนือคู่แข่ง พาองค์กรก้าวไปถึงจุดสูงสุด ทำให้โดดเด่น มีคุณค่า มาตราฐานสูง
[boss] ซวย | การทำงานของเรายึดติดในกรอบความคิด ไม่ทันยุคสมัยและเทคโนโลยี ทำงานล่าช้า ส่งผลให้หัวหน้า/เจ้าของ/ที่เราอยู่ไม่เกิดการพัฒนา จนถึงถดถอย
[boss] แป่ | ตัวเรามีหน้าที่ต้องทำงานหลากหลาย/หัวหน้า/เจ้าของ/ใช้ความขยันอดทนอย่างมากในการทำงาน ทำให้รู้สึกเหน็ดเหนื่อย  มีการเดินทางไกลไปทำงานบ่อยๆ  ทำงานมากจนร่างกายอ่อนล้าเจ็บป่วย
[boss] ซี่ | การทำงานในที่ทำงานระหว่างตัวเรากับ/หัวหน้า/เจ้าของ/ไม่ค่อยมีความก้าวหน้า ย่ำอยู่กับที่ ปิดกั้นความคิด ไม่ค่อยมีความกระตือรือร้น ชอบอยู่เฉยๆ รวมถึงไม่ค่อยมีความคิดใหม่ๆ ไม่มีอารมณ์ทำงาน
[boss] หมอ | ตัวเราจะสามารถทำงานกับหัวหน้า/เจ้าขอบ/ได้อย่างยาวนาน สร้างความมั่นคงให้ทั้งตัวเราและองค์กร มีความก้าวหน้าแบบยั่งยืน อุปสรรคในที่ทำงานน้อย ใช้ชีวิตทำงานอย่างราบเรียบแชะราบรื่น
[boss] เจ๊าะ | ตัวเราทำงานร่วมกับหัวหน้า/เจ้าของ/ด้วยความยากลำบาก อุปสรรคในที่ทำงานมีมากมาย และสร้างความเสียหายให้กับองค์กร
[boss] ทอ | การทำงานของตัวเรากับหัวหน้า/เจ้าของ/มีสายสัมพันธ์ที่ดูแลกันดี ทำงานแบบค่อยเป็นค่อยไป ไม่เร่งรีบเก็บผลลัพธ์ จนบางคราวดูเหมือนเชื่องช้า
[boss] เอี้ยง | ตัวเรามีการทำงานที่เอาใจใส่งานขององค์กร ดูแลกันและกัน ตั้งต้นร่วมกัน ก้าวไปทีละก้าว จนนำไปสู่ความมั่นคง สนุกสนาน ร่าเริง เวลาทำงานร่วมกันกับหัวหน้า/เจ้าของ
